configuration,measure_id,x_proiettore,x_oggetto,x_lente,x_schermo_inf,x_schermo_sup,x_uncertainty,x_uom,x_tool,l_img_inf,l_img_sup,l_uncertainty,l_uom,l_tool
1,C1M1,4.60,10.10,21.80,66.30,78.40,0.05,CMT,regolo,6.360,7.850,0.005,CMT,calibro
1,C1M2,4.60,10.10,22.50,60.40,65.90,0.05,CMT,regolo,5.090,6.230,0.005,CMT,calibro
1,C1M3,4.60,10.10,23.00,59.90,64.90,0.05,CMT,regolo,5.065,6.095,0.005,CMT,calibro
1,C1M4,4.60,10.10,23.50,56.85,58.90,0.05,CMT,regolo,4.235,4.850,0.005,CMT,calibro
1,C1M5,4.60,10.10,24.00,55.30,56.80,0.05,CMT,regolo,3.985,4.320,0.005,CMT,calibro
1,C1M6,4.60,10.10,24.50,53.70,54.30,0.05,CMT,regolo,3.600,3.275,0.005,CMT,calibro
1,C1M7,4.60,10.10,24.80,52.85,54.50,0.05,CMT,regolo,3.265,3.890,0.005,CMT,calibro
1,C1M8,4.60,10.10,25.00,52.80,53.80,0.05,CMT,regolo,3.410,3.535,0.005,CMT,calibro
1,C1M9,4.60,10.10,25.30,51.90,53.00,0.05,CMT,regolo,3.150,3.995,0.005,CMT,calibro
1,C1M10,4.60,10.10,25.50,51.60,52.80,0.05,CMT,regolo,3.000,3.285,0.005,CMT,calibro
