configuration,measure_id,x_oggetto,x_schermo,x_medio,x_lente_1,x_lente_2,x_uncertainty,uom,tool
3,C3M1,10.10,54.00,32.05,24.15,38.90,0.05,CMT,regolo
3,C3M2,10.10,54.50,32.30,24.35,39.05,0.05,CMT,regolo
3,C3M3,10.10,55.00,32.55,24.65,39.65,0.05,CMT,regolo
3,C3M4,10.10,55.50,32.80,24.25,40.20,0.05,CMT,regolo
3,C3M5,10.10,56.00,33.05,23.90,40.85,0.05,CMT,regolo
3,C3M6,10.10,56.50,33.30,24.05,40.65,0.05,CMT,regolo
3,C3M7,10.10,56.70,33.40,24.10,41.70,0.05,CMT,regolo
3,C3M8,10.10,57.00,33.55,24.15,42.10,0.05,CMT,regolo
3,C3M9,10.10,57.30,33.70,24.00,42.25,0.05,CMT,regolo
3,C3M10,10.10,57.50,33.80,24.10,42.85,0.05,CMT,regolo
3,C3M11,10.10,57.80,33.95,23.95,43.05,0.05,CMT,regolo
